T_i,B_i
39047,45646
80665,72159
89437,36632
82292,29772
18965,6180
62866,51739
9988,55673
48511,82627
8490,32441
43150,25685
89138,33101
93104,42859
25616,51943
4275,53356
75814,48828
72124,85450
18282,98216
80166,16255
8367,85216
57460,91485
79641,23316
22587,20822
11501,75396
83060,16599
36781,75406
2691,36275
39431,70280
2863,69009
36020,34757
51764,34444
69879,9598
46625,21834
11433,14105
45146,5889
62770,5937
78944,34980
60957,90186
80606,89465
9688,29848
8767,87048
10908,64901
47891,21428
93676,78917
8016,47216
37195,44330
91303,47750
77911,60581
15475,98263
68698,22575
27822,11524
56336,18574
87074,67474
81701,78718
96994,15061
81038,4648
83401,39882
71909,74718
15467,1823
42341,31615
46646,71813
30681,99077
57277,10993
67000,70733
31073,83238
11772,26552
73142,30382
62648,2615
60342,28748
7560,4529
94114,89251
78852,11537
370,48263
10641,37055
7606,94579
78860,44194
43395,40880
2807,68130
55694,96803
68795,51251
79346,36142
81088,95383
44005,97301
49282,87882
82437,24375
74339,21335
11026,54273
65310,19164
61349,20453
62601,1756
36946,3676
50654,71219
22894,62296
96667,60931
59577,13200
91609,27237
20466,36656
15040,51858
30157,85036
45921,68622
60790,13672
34367,38420
23989,72015
83748,28417
41668,12971
64451,59026
56702,78234
89340,96991
26569,95949
26994,5184
12949,49092
44385,46367
59859,22577
77650,3162
92337,2394
51446,4152
2360,23628
6257,12394
70860,47343
98863,5542
37867,10585
58950,69622
23205,19624
24913,76689
10879,56328
50481,17171
56333,11067
59562,29264
2470,35427
45497,98366
20278,50176
33368,53338
92554,37740
85000,88039
93810,55092
22297,2725
77677,17794
31910,20241
20724,88767
25467,7942
47293,65284
45495,33407
96021,92678
13672,55318
63115,42998
59023,73148
19935,68956
82941,92203
10666,25598
57015,67224
8617,60308
89674,92206
72742,13659
74726,61459
95349,20166
2051,62968
30998,88771
66103,96206
48001,56226
20085,36088
90342,21240
37784,93247
3932,33994
58892,87229
6336,96561
5258,60389
53603,82287
36072,17797
19104,36601
21322,62279
24650,13393
1113,84540
33152,3381
32426,40735
11256,55636
79543,41149
68200,58432
26168,80638
27272,48360
55589,54687
40597,17193
82472,1598
69280,35383
43355,98752
41206,44704
85127,12538
16140,54577
17867,1152
99964,39264
38002,90297
61255,35528
92838,17943
74123,41993
19404,32669
81766,73469
9131,85250
13688,19266
41758,72437
59153,67139
35709,4932
88887,77693
61012,1952
23054,91552
51534,85490
34180,47182
48471,11349
43271,98794
9900,47443
45960,39865
82863,48026
54407,75602
33073,71009
10335,15025
22720,70913
24752,46692
65346,56699
58629,45452
9774,21431
24565,16909
42291,57314
67000,92337
28312,65826
43549,15017
93402,44490
48013,43722
17405,10595
20037,86411
95845,89623
18555,58411
53142,81811
36461,25679
90234,67625
18665,34307
29637,33683
86042,14849
71110,62228
39500,54497
73168,69574
38669,9794
10021,49463
93134,63964
98488,27335
4109,15883
29956,66713
65132,79292
8135,76991
3560,15639
81821,70033
28143,36052
48236,22967
15638,30452
83684,49186
98669,40235
74199,21550
20579,58626
25773,52061
11948,99841
15583,5121
20364,11194
26800,21892
97226,23507
1518,10117
31953,20762
97193,55995
87062,35013
9742,86035
76104,19192
41609,5704
31140,75149
84451,88126
37671,45082
40430,60283
90675,97629
40524,86103
46587,88752
56850,8844
25723,45430
51427,23207
62675,70173
3781,41070
71840,14609
81131,43161
67584,5045
65154,11933
89630,4764
82926,42855
62833,23339
88259,63893
7479,45174
27456,75587
72325,67906
38771,34487
51523,38038
38526,3288
7163,73645
26981,14729
2835,65384
77497,78808
82977,76907
29494,24869
69302,17673
36357,43795
39033,48254
89632,53130
74552,68152
65218,68452
90595,24714
57205,70588
11915,29053
64894,99698
15785,66522
2266,88531
30213,7755
38297,39795
20806,48702
33445,17712
64703,59607
26859,84104
38568,34959
63074,18191
98731,16962
92573,85810
4178,55660
37818,32044
96113,52261
2170,39471
48570,2688
1322,82405
44801,67757
92727,8255
59830,71436
74842,84178
13581,16493
8284,50102
57895,13194
43469,66168
55874,20176
20965,41606
47496,69581
21290,3761
34526,12587
20225,15170
498,65961
51742,55708
59280,80668
71486,67456
11898,57082
63259,41204
81732,21123
39910,6391
16125,27745
28896,98704
63054,64512
61543,59713
56641,11523
60207,18828
41680,49756
72657,50992
96388,14223
15692,80102
29385,57419
2450,25818
42502,36964
35247,1602
12853,32215
1611,13148
21849,98997
15695,1974
53200,90815
64951,87249
90310,5079
60151,22914
54310,64340
41500,28584
36759,2189
80612,44523
12762,64813
94166,87182
44462,92042
98255,17943
45720,69828
58283,48737
62084,21608
89151,83732
61168,7806
13564,21574
9264,57268
55525,12515
11306,48709
70064,906
78530,24273
58967,56669
75008,7046
8001,88067
29038,17953
82787,17298
63907,94290
88490,37631
20307,87451
67255,85226
42067,3419
18831,97534
88253,40362
48532,37953
45826,59011
69051,45398
47869,53819
7149,70010
81531,72682
76624,38088
32305,2318
42392,18472
42704,81256
66214,81894
64332,84047
84549,94789
68445,83795
4265,42003
89949,26060
54286,73427
85409,44450
8111,57025
1466,53868
26614,52720
12372,21206
44867,14223
78722,34937
19491,51292
5889,9871
63494,85996
41216,83312
65229,77818
69148,90643
92260,30428
90762,67139
29502,73619
265,70417
12877,62248
38856,17481
95073,4474
63898,68222
87156,76431
95024,6905
93856,57119
70086,10801
32662,46770
74003,44770
44888,79611
90473,10864
82734,58659
77214,43770
85855,59282
95329,80302
68643,17885
476,84943
11378,88368
92766,46910
21231,47731
74299,45832
51667,17656
81508,84800
77979,63642
19821,35362
28217,38114
88546,23038
41573,17372
26418,70560
93386,11344
91522,83521
12465,25179
30352,99391
68632,35847
90055,34575
26594,74860
25895,97763
78300,99525
31257,82545
17484,67480
85465,78489
79799,72331
81131,41046
79444,48926
59183,2019
91582,91606
41278,29451
146,407
50062,83622
17169,70654
16679,19251
95020,46126
95103,30781
36891,78559
93843,62349
73191,50079
69790,94247
87824,80262
65240,81016
82006,69999
80662,16740
83490,42727
12545,19991
50775,37135
20553,94707
26333,76701
11594,48233
47418,29682
88890,3721
37853,12568
51153,47136
81615,22262
25614,24500
51424,65202
11201,43749
54400,52333
85073,34902
17477,28246
7185,73360
3207,71495
80438,40725
74983,20138
60639,66128
32951,18188
93239,79195
968,98342
14161,36969
55884,73698
11180,39354
99409,54052
55410,26388
82121,76601
67518,46688
67311,99834
98614,20791
63635,1242
60660,52531
60440,78319
49724,87930
50226,59006
62338,83492
43778,88115
85553,94102
22359,21638
40725,20576
71270,90859
26723,3896
26603,17597
84291,41841
54953,75422
5233,50754
90400,16150
8492,33581
54185,40409
66241,93098
20216,60034
29620,78135
78743,52242
2589,71257
87787,33492
73952,27477
68741,48624
25090,77866
65887,8497
33372,67419
84671,2640
71516,81938
55356,49603
11018,63637
32750,49869
41710,15360
24607,81093
84114,15343
31414,54151
90309,70186
77214,78106
71911,54349
18346,6498
17353,73148
93835,66177
32546,66158
31423,79053
82317,75111
47771,2516
65745,43460
24037,87992
24941,20281
70397,74201
77828,99123
3620,27837
8374,6524
78287,13100
41673,64068
13079,20764
89876,47056
17796,70480
79241,9025
72333,85321
42135,13436
80162,65022
64008,81263
89190,88744
70916,28325
17048,59753
44410,6086
31502,9674
86101,81073
34249,32728
19065,13243
75318,51987
56720,87181
61544,40252
84610,13755
46993,48856
6657,68939
79063,23302
95334,75336
66974,10544
81743,55709
66171,70830
14201,21116
79624,9288
26879,47429
67307,68156
15400,40651
45013,8783
9199,96862
29268,46499
96884,69140
43074,16964
1123,78511
87938,90054
22320,76470
91399,79642
44782,7348
28749,22900
96225,74114
9104,14846
86618,7551
55526,58906
20570,91340
24345,13600
23574,39804
74117,6291
23769,30733
79982,64328
49302,68391
67478,43668
80542,5717
17512,22173
47181,91790
23689,45799
95089,91968
41108,24258
45473,48886
98383,69357
4635,75657
90133,82497
51884,17959
25957,93763
74520,99770
58010,2146
68369,66053
97324,96341
28726,99925
92024,29132
12921,4994
23942,7770
14731,66807
26686,38386
54833,62849
25707,13596
41795,74809
56428,88557
78423,31930
34911,84382
98623,5502
25477,81534
73191,84317
12957,84206
23734,53276
13330,28913
31058,97185
81156,9947
17376,29131
68669,68800
54555,89461
98057,33785
58111,96592
5398,47164
42183,19921
16684,93814
63086,88262
36461,44625
43951,32641
44050,24574
4956,82191
93182,12231
89553,36288
731,5727
30089,81460
15512,43036
44295,57560
32919,83635
51767,29346
75200,85829
77483,80972
73678,59576
89938,47854
75804,63389
60297,96273
9955,81000
52781,48115
55601,22822
83270,23771
20681,28274
902,12628
40933,44572
65734,88381
61753,60254
848,8360
55135,20682
8125,71346
5210,7670
54990,77279
2459,55181
36742,77004
92148,39105
54817,34756
95960,34008
63721,6833
67359,34742
10843,69457
96635,4412
57823,18858
87421,60296
94056,52350
39639,18795
78022,27066
27598,42305
73434,38443
21442,67758
17554,94438
48335,77607
13548,97454
60152,7680
98972,44126
50363,72974
59816,52602
29062,39639
21988,47615
62875,44835
38608,49961
97384,65445
67070,5301
6602,66782
86942,34720
20600,54602
17940,29924
41215,94815
51911,21723
40574,76072
74795,51919
6494,89434
59915,33195
49079,66110
15095,54532
24013,9702
37768,94811
75136,24702
29899,98826
21679,56187
86655,99438
12275,17091
74885,77159
73238,63690
21616,56379
69375,97580
25810,84489
44727,28489
87973,44498
63025,52371
48537,2379
72261,29497
83808,310
30868,94952
72426,86056
20718,84292
71751,43900
25872,72789
73630,53449
73166,1927
87733,44534
90921,51171
67174,28393
17722,67922
54312,61363
80267,66341
23892,48390
43342,94645
59526,72897
98439,53537
30326,73308
30884,53361
58224,81905
97930,58869
61958,25123
94861,7443
64783,56337
88014,35394
31505,76154
55543,44900
41482,31675
94910,84665
54465,44837
135,30912
23459,78436
41268,78335
2165,73380
63396,65152
4514,83252
80451,54359
49061,12047
87963,76275
46725,43198
55297,81812
74692,40837
42011,38218
40191,70381
19373,51666
81973,57353
99679,49488
88748,80447
15773,45331
26725,61630
1285,11184
72098,10603
38859,44832
17245,89587
77662,74871
8160,61066
9693,6960
18997,33452
20645,86688
14367,65855
38016,31611
16110,59433
78916,1520
71923,42113
85962,19359
64920,24765
31823,79466
35960,1431
89897,80896
39763,26007
62605,49592
59590,59879
39520,20407
86986,97669
27952,52945
13556,36539
45213,92880
64112,24351
15390,39413
9618,24256
95563,26289
17648,98585
37880,40473
22963,97658
73629,85346
41525,18791
93348,16102
47009,10888
31325,13663
46500,58021
31360,10700
92589,64644
81132,63549
12330,23789
26968,91010
53013,35581
12952,54237
75151,75587
71924,13499
61786,53555
42301,38839
86247,93200
26805,67436
42787,97820
53564,20630
12289,35101
77810,26141
45448,12993
12433,11861
24655,85678
82284,45198
12029,74445
3692,22722
78511,90926
21220,77938
95632,8440
60915,60768
92499,50188
20669,28093
22531,57114
88141,33352
7878,23738
43064,76597
608,44784
56405,17335
713,92735
15518,90709
70465,95164
40369,99201
1855,19401
28711,65766
12953,79175
21552,72532
90328,26996
69411,85569
33156,51195
5104,5040
2979,36291
80725,16481
20398,27826
52404,6613
73188,70954
37058,18495
3271,82201
6721,59627
81184,49066
54519,99897
6683,74865
93972,93055
6461,49059
92823,18208
85637,88375
68075,59672
44068,92069
89815,11525
30199,49769
39090,85678
4439,12218
38935,14095
15859,4353
31462,48293
51226,84514
55129,97672
20400,38523
98511,69327
77837,27129
61250,83308
48943,68907
19115,91531
4151,98700
86800,22834
59749,9802
24259,1531
98006,50728
89535,80936
99083,74159
97581,21077
77289,7389
54235,92406
65811,82816
29454,81950
84256,44380
97255,60309
33991,74493
88420,70857
76737,30593
40637,57697
77415,48585
10240,91410
10424,9391
19034,90940
75973,85414
33295,19205
3644,45988
90411,30605
52108,43407
60621,2402
28758,75291
29529,92432
16354,83094
33367,17235
30190,72550
40815,6670
33685,49059
26371,92303
674,18968
89576,796
97681,84914
21204,72305
32376,55188
95819,51550
60818,65300
42053,35982
93308,17786
80354,92878
32560,30877
92377,50202
55684,13199
71157,42184
44765,22436
71023,15971
90127,26892
60407,66551
44617,37058
28845,51530
42548,10270
78511,18754
4419,82968
67195,28763
49333,60016
62085,51719
2980,74551
78876,48075
76476,14042
12887,33719
84286,91808
16576,9060
6154,35939
57656,51236
82569,83362
29225,26036
58411,86992
4460,8447
53374,9188
27459,31697
68060,75326
43333,40414
41687,82864
93492,27703
43885,5985
44149,92320
84374,90702
21448,646
90816,60827
81700,85814
73054,32046
97287,85454
30797,30363
28108,30544
25827,48082
39032,14980
2064,38045
65747,16551
45000,39330
76251,10721
6827,46706
45885,24308
82245,18193
51528,70057
11291,33630
30131,90871
19177,65202
55939,63633
49495,74706
5010,59541
67603,2650
29823,82838
60303,83864
66708,75859
86555,32897
51477,1286
15196,86455
52942,63222
53013,41760
11775,89959
31381,36307
81847,30871
48249,39649
65519,56650
11477,86540
61621,68101
56030,90736
50806,71201
43657,34352
25937,7423
84809,46360
89993,60767
8696,75622
91201,20032
80587,9554
333,68823
11770,25632
68627,33074
218,27709
33633,56966
47757,43406
36831,74894
58670,72563
76043,50414
48498,62300
32471,81640
30666,13808
54847,22578
40441,82713
27746,15968
40849,18950
41604,44175
39444,41303
35430,18334
63376,97297
76285,82079
49668,63787
89073,63303
67477,9490
45063,40549
77906,84208
87092,56438
54260,16493
44305,62773
16444,1918
31167,24008
65619,60805
14589,75225
19185,85418
78285,28889
4048,75888
89091,35562
55910,75758
61811,70961
43900,15225
94581,13792
63386,78565
60598,10857
29268,56540
72148,55296
36822,92664
51578,8217
32764,67583
93944,77601
96744,66255
41153,77443
85558,19843
32675,6132
37446,3475
78587,65507
44079,44354
19135,27288
12871,61234
97675,20398
16420,30852
95776,53515
8846,92741
82056,26960
92146,80228
45272,34467
8515,46170
63250,15001
16513,88739
25415,14254
27776,61215
85759,37759
89823,34042
58376,62306
96820,54146
59415,72
99610,34359
2522,96920
31865,35195
15798,57516
21033,83402
30178,47579
16975,24462
34211,34417
39221,74030
67592,23478
18023,314
76700,88017
16591,16607
34767,2485
22585,51036
86609,13100
76031,42593
23003,85995
12787,99010
72818,10220
85638,16717
87127,63059
93718,23062
98918,5454
68963,18416
95925,91236
64084,27685
25852,52953
61603,18151
33505,33950
63518,55941
78948,25295
21241,91403
10750,98848
22449,66894
88083,99625
90404,69563
22115,89576
77056,40007
28237,28854
51783,6395
73183,98829
952,32062
62464,86368
82737,62928
25664,41412
49647,78965
55750,15627
35556,74585
2693,48703
32085,79820
69257,10460
30399,77324
80649,53880
70809,12429
70604,82485
82836,59468
48782,10483
75999,33515
38000,63865
87940,47922
80915,58242
6084,21967
71337,158
88413,96874
83321,18770
74853,22150
68183,67226
77231,5633
8615,2329
25132,75533
47787,46929
44234,62090
52036,530
44378,37732
52931,5916
32407,18996
8507,91904
80396,87510
35188,26144
44339,9782
89468,34553
13280,86210
64848,64187
28100,70135
75640,37066
99912,16131
14153,20322
92785,90543
83152,91162
2213,76088
13860,36099
81744,45504
5612,85176
9498,1179
50586,57522
50807,26480
30642,85475
28018,5533
71515,45208
40879,67412
8040,30007
76568,91966
88415,81575
42244,1761
17968,25616
20050,84867
86099,94913
46765,13816
98545,8832
34221,2752
62465,69178
10333,45999
80899,56904
58444,48435
50110,4370
18539,8322
35600,76401
35637,28087
3161,8296
92422,3043
35244,76662
33691,36631
91229,2133
71959,97328
71519,7852
21753,31069
84118,41909
48474,79934
22312,84345
66024,54126
61053,72074
35359,18399
35659,45664
95956,89953
19375,95664
37012,87244
62436,59175
16331,48069
16084,77065
44419,81922
19685,59167
69530,90566
47853,74029
86158,59819
60381,42630
28732,261
2696,54020
37295,68950
18742,77054
68683,60443
13984,752
72249,10783
15176,80016
14191,40144
86214,33927
86096,26667
26896,16453
33696,94843
93320,47131
36111,10365
83528,59243
25825,97585
33778,87107
6748,37811
27612,52454
17563,63287
19335,6744
76976,53851
60737,10540
99619,93436
5273,85970
88001,16383
94979,16778
1745,95521
79870,20594
88067,9462
35665,34595
61195,36616
48897,91014
30005,62189
27333,40427
19509,96990
16298,93521
65941,26454
68472,76016
24919,36542
55775,15505
95149,64838
73258,44671
11857,13802
91466,45176
90170,95051
31641,60581
7874,41165
6799,14027
56562,31567
10379,51808
2437,94661
16549,58160
78114,1821
95114,9657
65029,64208
86206,55572
35445,12321
90020,31596
91506,6057
6128,6047
54749,96916
39716,69813
48369,96685
33167,17427
43058,22791
67642,19863
31685,56623
34287,77926
6649,7892
5267,34743
99537,31772
5324,8856
46412,77264
80126,64765
62325,95029
43332,81752
45700,77641
7446,9491
13955,76678
60717,94051
95712,49488
51307,69161
78079,38893
7808,47080
51608,17259
19140,26043
86160,21094
90842,45911
83046,42291
86801,93171
92471,25811
43874,80685
31166,12523
49367,281
54376,63197
11550,10075
98456,54117
86435,28760
2987,34807
96410,52058
70357,98662
31371,31033
66366,55002
12672,58252
85131,75103
61572,98225
16079,85939
1129,72474
12806,28490
26993,1542
5231,72672
68734,4611
49353,48374
73890,61024
21247,95312
5125,55202
13674,86321
1329,59415
97828,58561
79008,7072
97982,31541
42518,71570
69384,61469
50883,38520
1280,78421
66098,72003
86221,72372
34209,21560
43560,93860
22694,51955
93084,12527
70579,84148
56808,33382
55599,26076
36719,53737
73871,77218
44285,30483
6773,51935
51993,98309
45188,9511
34504,10684
93218,12185
1832,51139
56127,83397
51041,39758
52437,95248
45037,95199
21879,59455
92628,3601
82936,62145
40810,12707
25104,80802
54251,95686
75038,32534
2058,28427
76516,86940
36222,2114
55912,99427
1607,73177
96630,23147
14342,68192
1929,79119
80845,21055
47780,71577
73664,92688
18233,32349
65543,36651
77860,84263
17006,86139
88432,61779
59650,63320
50855,56979
84609,73922
52310,15769
22475,35066
77808,8343
95705,91551
69890,68213
25377,4680
74441,70938
45123,62458
70643,49134
58599,51736
50180,34772
12081,31541
48056,17385
48017,86194
21634,70778
27994,51107
66769,40587
60236,95513
71576,62617
24058,54273
70990,52674
62381,98842
77090,75141
77018,72563
82301,88206
99454,92480
70170,11538
93298,34066
14620,1782
66511,64715
6075,76487
82128,21050
27882,42375
36909,29733
56823,1756
84819,41841
27844,53866
86399,30518
19889,98060
1962,91636
37809,600
41473,93065
5319,21780
32117,19279
51019,64549
81394,77921
94522,98846
87482,45674
95384,89943
34282,62302
8196,85595
59523,95158
24435,6118
6671,51282
76445,31855
25818,61975
33929,81866
814,55699
81037,75436
12810,78208
51038,18368
30679,27981
84271,75961
82814,89781
66212,28136
66363,20144
61800,18146
36710,12832
31171,31885
74564,12432
35667,469
93871,94255
29491,82735
45395,81074
16576,67831
95029,32056
29496,16396
49082,33645
24502,56046
42266,96374
53758,34892
11738,4291
76372,73567
21516,38744
9614,91576
52678,13004
62744,23886
58466,31966
5466,19892
10982,15408
96544,50105
98838,47956
16415,57211
31091,40907
90244,18402
23727,63615
3998,44841
28781,18531
19517,30297
61,66113
23402,99769
96271,85577
56591,56274
96846,21924
53610,51319
60895,52521
9881,52660
14202,42258
64265,98400
40820,23523
6547,19248
31189,44382
31703,91945
75,67893
2346,91620
28967,10627
68652,84633
18146,98720
30119,45504
33971,48325
4310,65219
40579,38021
67415,89619
38402,23678
50766,12808
41551,78517
7869,10958
57759,25559
37027,15895
12502,55764
37197,57883
39738,13891
94511,5701
26299,35663
50065,51918
23257,83015
36201,31803
94699,34219
38929,38046
26379,33704
13654,58726
35751,38663
98967,98601
20599,47239
47171,99624
72714,39923
57601,71120
3695,74369
67622,88467
78974,43278
29455,14074
19148,88959
39455,30595
69971,76227
9807,47387
21697,70607
53530,9583
15591,83122
84339,844
23875,48540
99493,44275
13811,93503
27492,44122
61598,81684
99823,26142
46444,3257
3556,85904
92823,37690
23237,86919
1993,48392
27674,9943
42580,49110
8334,45526
11305,120
55209,67814
20188,82619
57011,14923
24115,19927
80966,19995
98405,77432
88302,4577
22625,37557
21419,37574
18611,91826
65683,58885
90010,97798
61404,70663
96945,48083
4740,93226
17069,52743
15751,31326
97668,22348
37105,47669
11193,69108
10982,32055
31684,57159
1247,12051
78625,63751
6537,28573
52601,18545
43273,48514
15954,7281
79732,13800
53704,37961
63505,74015
16687,73007
57700,3601
69521,39878
97442,29055
25357,61051
43357,91966
66552,65036
30314,22421
16243,79920
60505,84257
27806,64001
6784,45028
59520,99052
34211,37014
7509,43159
32074,2162
49645,57393
62168,17997
913,44288
99396,43478
69800,74746
3134,37763
84519,34854
90807,70917
68194,4471
22787,36020
43770,40411
82366,17264
27244,12503
98602,54734
64682,13047
84162,61689
16723,99600
64638,16960
53529,56402
59649,49019
89694,90089
51564,16406
11648,53986
93164,63109
18322,8158
72765,91437
61949,48493
4573,23870
36289,15151
96044,45061
92846,96474
82039,14481
63689,91383
20269,59069
24908,45978
94890,53066
67698,92133
35791,74895
87203,35187
45356,1818
76613,51460
35799,9288
63156,68486
25181,7303
47972,76294
89993,74939
8786,4445
51046,65339
37452,18404
99043,64586
21299,22350
43987,81218
73355,94912
48773,77067
54905,25202
61198,39650
70936,44921
65514,37261
96106,92052
4849,26943
61366,95235
45478,22504
90942,4890
1133,98956
77696,81357
48908,41634
11934,57634
57152,45888
63653,1371
31337,90630
90664,28074
74429,31003
5988,9003
89078,16941
53486,55570
71445,49011
32339,72895
37560,84611
84084,4347
27973,69665
51973,33270
35131,25909
58687,91851
91991,24341
21787,60127
78377,68710
441,72513
82863,13935
41981,80133
17958,67111
58680,54567
42130,30802
20260,57997
54719,4534
20376,81676
82436,90353
97699,96383
15946,48237
8684,27147
60850,88401
59379,64095
11751,82572
33712,70913
59359,61444
22894,21333
25784,41804
6866,10353
94681,85247
15617,96419
65999,72401
26739,3152
10612,48934
51233,6299
53751,73179
94880,55795
41114,79056
81109,30271
79164,49396
66043,90221
5975,59960
4706,6214
3189,35167
71879,79710
89457,37377
26432,31949
93264,48651
2587,90374
12456,49413
79305,60566
637,1371
59181,63617
3708,96775
75757,43971
12144,81279
65097,77427
27491,83234
98875,96358
80757,72517
66477,14347
85145,34031
21117,71056
26947,34873
61714,50525
94034,22629
77549,25266
55269,74584
92336,70842
45774,4897
78728,32394
3319,79771
99137,42716
44969,7865
64861,26892
25144,14782
3199,64184
88766,49778
70641,62064
21578,73030
5420,38104
46093,33848
68526,44119
26568,14473
75733,20770
92730,84193
74376,99979
43378,86824
37785,40141
39756,19754
93487,97738
28178,53657
85664,27978
19605,62573
56499,68430
15230,74308
1656,91419
75010,57739
94885,43472
83451,73347
68419,61977
22214,48674
19672,38313
53724,76384
25920,3022
51262,80486
66048,49870
89306,53171
99740,58987
85969,4496
23472,87860
88734,94421
1394,14145
45563,45550
76076,3171
95270,21045
41865,90031
84951,38423
97630,86761
84085,8963
26761,73207
32548,9300
75402,25688
81042,88199
84168,4724
42164,96424
3265,38621
73600,9239
62030,30464
49496,87999
26206,16711
95849,51557
96392,36575
66191,90478
98072,93592
28834,87049
87560,46325
23609,50450
90112,4915
69788,84504
50021,59328
9774,14516
96576,60268
5566,16860
36246,42111
76921,27045
21682,27122
99395,2537
88019,78746
32034,56890
32828,94613
89458,78690
66270,1591
99242,70335
52619,90051
1419,5499
408,14265
60849,57944
22622,76935
9804,10468
92395,95943
87170,51701
60106,93178
1813,22451
15167,31973
88442,17981
85108,63882
22142,86755
88964,19189
47939,28006
54841,11845
24442,97589
57090,53564
10722,98227
91138,268
14293,30816
59870,53402
87933,28994
25917,57609
86919,34042
21422,50085
21262,66765
89427,99404
56838,52589
82022,69629
19592,71984
12259,19192
93200,42087
90872,67656
15158,37618
52991,2092
48667,97530
37106,42778
7445,73722
13585,69888
80097,43805
17556,93948
68583,7959
80321,7607
81800,77995
2560,11609
90623,41180
66583,5222
84372,30030
52786,85099
17831,5633
42098,53267
64980,77059
73264,76584
2689,41812
24251,95285
28091,66044
58919,6901
29975,76276
98246,63813
80387,18526
23208,15664
42299,69489
66048,98015
54278,98182
88313,37732
73702,27238
75903,10313
5157,32026
40444,31488
57276,35170
47336,70451
20826,44010
74931,97454
63972,52959
82451,42965
16035,75494
13847,13604
55837,8492
80399,99592
26003,49021
13916,64734
42226,4737
23690,19565
15292,42160
19570,43073
32572,23282
32622,28796
88054,33293
67492,89012
66795,5879
45982,64749
49106,30265
84684,1226
52614,61060
76096,72967
98532,28567
14694,72519
97,26234
40729,14579
44122,6112
87016,8818
63753,74761
32999,1331
75613,75873
4814,860
69293,66621
76357,46976
25526,80698
1050,8143
5328,11400
10067,98244
5666,17749
42865,82151
57737,67169
37786,53165
75357,32555
14603,31883
98677,15081
48006,94825
64863,92731
91012,90197
51409,27392
6737,82671
94985,99926
71362,70998
53123,69369
38125,84038
21115,96529
93017,41393
44006,1070
99841,20355
9971,15544
26871,26499
27683,174
2838,14933
56641,8045
83607,67484
74526,12008
1463,32384
45298,69646
46110,65025
49794,51808
99377,22035
30316,91479
23734,40326
38434,42571
47325,67599
86481,15421
85437,70184
43837,58649
27991,80378
85366,47509
59203,3942
17853,60748
14973,93430
29279,93469
83086,59980
4908,18301
98009,20411
2950,30088
20283,9327
11067,9515
80085,17993
82330,71441
18693,34648
67349,97501
40122,67270
34480,33315
87262,74414
49899,5853
31206,46462
48338,19843
2625,78702
17337,15051
81177,76200
73183,92212
7355,97870
49390,48815
7227,56895
29892,45058
23018,69119
41769,54777
56665,95184
86839,35242
90646,15324
74800,34366
9129,20800
78028,66451
81380,70732
12356,20508
63040,91700
46857,24847
39669,19993
26944,14846
25565,22878
53504,13069
741,62100
49364,85649
37667,53261
77248,13640
38029,27198
1061,29775
90519,37021
13962,38318
49713,78534
69056,23564
8849,99657
37720,68519
76620,87508
16527,60841
83361,82768
95613,73143
77944,23834
15158,26897
46466,49328
73294,21602
50806,90549
99858,62789
66069,9099
52265,6469
74330,62179
8998,8889
33148,86943
65923,12854
76727,60547
57813,55322
40551,23932
85187,75991
73998,83871
38284,72276
93431,61196
54154,43345
90362,68135
87621,73381
43053,49613
68778,82168
743,79758
58432,93465
78321,59478
1140,95390
87574,28027
34459,55973
42836,16795
29435,58409
37373,54560
77735,65075
90882,66114
11009,58660
16199,16541
14117,40891
78781,25626
32378,78649
65306,10267
98494,7713
19513,74700
86892,83825
90795,89588
24495,97614
27252,11656
31003,31714
12490,8975
72985,93437
1847,94469
43632,16086
23979,6865
66720,73988
15719,80351
7055,93554
53966,94737
47768,97213
28633,14523
11786,48555
99502,79626
70801,83111
80897,76507
30084,91602
3443,43354
84534,41743
84637,31143
68847,13871
36568,11129
99320,97036
39156,36168
56099,15502
67830,16027
18404,95269
79345,21538
67917,327
30321,23920
2777,82016
97442,56551
6202,5944
29518,22450
91981,37964
2540,56091
72102,21141
6627,63158
11703,40598
7810,93109
20408,14878
24215,50433
94668,78714
95196,96094
50573,53078
28632,99381
98129,6771
59071,98199
21091,94811
18835,29441
21365,8922
9993,3573
13284,60118
74107,70198
20266,8157
20551,17013
69816,82050
73852,51803
60181,8905
53467,40068
67539,69434
62870,46672
5949,98892
44894,15232
36537,33434
29924,11543
88830,64028
29134,8622
13551,63688
37007,82904
15057,35537
13239,37633
52976,82188
68870,20812
90751,10835
84870,32232
3498,27098
17316,13788
63696,32274
90612,21720
26532,77324
74074,264
56442,71177
54682,565
67810,46680
46310,51429
64508,48736
34467,19572
49232,90403
55104,74993
10673,46188
36472,54995
43554,31038
27286,60840
99465,45553
97537,62237
52802,51591
12218,10176
70936,78875
47387,84418
19619,5358
73879,72890
37536,53911
371,32924
29075,69243
34996,38749
96537,18065
13909,28408
85812,18242
72684,99516
98793,76551
11742,57943
76849,39447
96410,22411
53565,77483
73275,57793
13280,14507
44877,61240
18541,81209
93618,84562
51747,91384
38119,14597
5511,16238
20130,75397
56289,22259
44196,46076
72611,16408
29604,27945
21045,95080
35208,18169
25891,22629
14688,41089
87102,17508
58287,24615
34996,39706
63049,77374
70549,27302
28785,57076
45445,19690
68113,7122
14931,68959
37811,84453
18443,17047
59033,46676
60231,85433
33668,18500
27214,12073
72873,88293
